theorem,mutant,result,encoding,nunchaku,recovery
Option.filter_lt,0,UNSAT,91,212,0
Option.none_le,0,UNSAT,40,170,0
Option.max_eq_left_of_lt,0,UNSAT,154,432,1
Option.rel_none_none,0,UNSAT,64,175,0
Option.not_isSome,0,UNSAT,53,3348,0
Option.some_eq_ite_none_right,0,UNSAT,22,160,0
Option.merge_eq_none_iff,0,UNSAT,9,214,1
Option.mem_filter_iff,0,UNSAT,9,208,0
Option.min_eq_left_of_lt,0,UNSAT,117,319,0
Option.isSome_merge,0,UNSAT,18,108,0
Option.ne_none_iff_exists',0,UNSAT,11,166,0
Option.get_bind,0,UNSAT,79,228,0
Option.filter_some,0,UNSAT,20,227,0
Option.guard_def,0,UNSAT,30,170,0
Option.pelim_none',0,UNSAT,23,113,0
Option.instLawfulIdentityMaxNone,0,UNSAT,95,318,0
Option.toArray_none,0,UNSAT,26,226,0
Option.map_bind,0,UNSAT,49,219,0
Option.bind_fun_some,0,UNSAT,24,272,0
Option.get_merge,0,UNSAT,126,364,0
Option.ne_none_iff_exists,0,UNSAT,23,227,0
Option.some_eq_dite_none_right,0,UNSAT,25,231,0
Option.max_eq_or,0,UNSAT,39,474,0
Option.mem_some,0,UNSAT,9,270,0
Option.not_some_le_none,0,UNSAT,120,244,0
Option.join_map_eq_map_join,0,UNSAT,122,293,0
Option.ite_none_right_eq_some,0,UNSAT,60,194,0
Option.merge_join,0,UNSAT,146,333,0
Option.pure_apply,0,UNSAT,31,2700,0
Option.mem_map_of_mem,0,UNSAT,37,177,0
Option.isSome_of_isSome_pfilter,0,UNSAT,27,170,0
Option.pfilter_none,0,UNSAT,39,180,0
Option.any_eq_false,0,UNSAT,36,234,0
Option.min_eq_left,0,UNSAT,27,214,0
Option.filter_some_eq_none,0,UNSAT,9,159,0
Option.any_guard,0,UNSAT,42,177,0
Option.isSome_iff_exists,0,UNSAT,29,215,0
Option.merge_none_left,0,UNSAT,33,225,0
Option.get_congr,0,UNSAT,31,234,0
Option.isSome_left_of_isSome_min,0,UNSAT,39,221,1
Option.pfilter_eq_some_iff,0,UNSAT,29,165,0
Option.some_beq_some,0,UNSAT,77,168,0
Option.bind_eq_none',0,UNSAT,25,215,0
Option.isSome_pbind_iff,0,UNSAT,59,190,0
Option.bex_ne_none,0,UNSAT,39,240,0
Option.elim_pmap,0,UNSAT,116,290,1
Option.merge_lt,0,UNSAT,374,4039,1
Option.any_eq_true_iff_get,0,UNSAT,24,217,0
Option.pfilter_filter,0,UNSAT,33,215,0
Option.max_pfilter_left,0,UNSAT,54,167,0
Option.any_max,0,UNSAT,37,268,0
Option.some_eq_ite_none_left,0,UNSAT,27,172,0
Option.filter_some_pos,0,UNSAT,23,270,0
Option.isSome_dite,0,UNSAT,37,226,0
Option.instLawfulIdentityOrNone,0,UNSAT,56,218,1
Option.not_isSome_iff_eq_none,0,UNSAT,23,225,0
Option.eq_none_iff_forall_some_ne,0,UNSAT,30,225,0
Option.map_dif,0,UNSAT,64,214,0
Option.le_filter,0,UNSAT,82,287,0
Option.pelim_pfilter,0,UNSAT,107,328,0
Option.dite_none_right_eq_some,0,UNSAT,63,285,0
Option.isSome_ite,0,UNSAT,60,296,0
Option.guard_beq_some,0,UNSAT,161,539,0
Option.toList_some,0,UNSAT,57,250,0
Option.bind_comm,0,UNSAT,190,186,0
Option.or_of_isNone,0,UNSAT,67,253,0
Option.get_map,0,UNSAT,49,322,0
Option.left_lt_of_merge_lt,0,UNSAT,239,2415,0
Option.get_of_mem,0,UNSAT,38,181,0
Option.join_max,0,UNSAT,98,222,0
Option.isSome_eq_isSome,0,UNSAT,20,163,0
Option.reflBEq_iff,0,UNSAT,77,527,0
Option.pelim_congr_left,0,UNSAT,50,230,0
Option.get_pbind,0,UNSAT,67,241,0
Option.ext,0,UNSAT,17,188,0
Option.not_lt_pfilter,0,UNSAT,360,285,0
Option.isSome_of_isSome_bind,0,UNSAT,32,234,1
Option.toList_none,0,UNSAT,29,218,0
Option.none_lt,0,UNSAT,60,217,0
Option.pelim_some',0,UNSAT,43,297,0
Option.isSome_min,0,UNSAT,54,280,0
Option.get_of_eq_some,0,UNSAT,45,296,0
Option.max_eq_right_of_lt,0,UNSAT,215,350,0
Option.mem_ite_none_right,0,UNSAT,71,295,0
Option.get!_join,0,ERR_ENCODING,58,0,0
Option.pfilter_pfilter,0,UNSAT,73,394,0
Option.guard_congr,0,UNSAT,71,226,0
Option.pelim_filter,0,UNSAT,72,225,1
Option.isNone_or,0,UNSAT,81,340,0
Option.pure_def,0,UNSAT,29,226,0
Option.exists_ne_none,0,UNSAT,24,241,0
Option.any_merge,0,UNSAT,62,432,0
Option.isSome_of_eq_some,0,UNSAT,34,248,0
Option.pelim_congr,0,UNSAT,55,183,0
Option.orElse_eq_some_iff,0,UNSAT,41,238,0
Option.idempotentOp_merge,0,UNSAT,74,142,0
Option.map_map,0,UNSAT,83,298,0
Option.orElse_apply,0,UNSAT,41,244,0
Option.pmap_map,0,UNSAT,89,432,0
Option.merge_beq_none,0,UNSAT,159,137,0
Option.isSome_join,0,UNSAT,91,234,0
Option.max_eq_none_iff,0,UNSAT,61,287,0
Option.some_beq_none,0,UNSAT,71,278,0
Option.eq_none_iff_forall_not_mem,0,UNSAT,12,166,0
Option.or_eq_some_iff,0,UNSAT,25,266,0
Option.pelim_none,0,UNSAT,56,240,0
Option.isSome_of_any,0,UNSAT,67,243,0
Option.any_eq_false_iff_get,0,UNSAT,60,223,0
Option.max_le,0,UNSAT,76,1844,1
Option.or_self,0,UNSAT,34,199,0
Option.pmap_eq_some_iff,0,UNSAT,63,378,0
Option.pfilter_eq_pbind_ite,0,UNSAT,85,247,0
Option.orElse_eq_none_iff,0,UNSAT,42,235,0
Option.isSome_eq_false_iff,0,UNSAT,44,281,0
Option.bind_join,0,UNSAT,87,189,0
Option.any_false,0,UNSAT,51,238,0
Option.pbind_congr,0,UNSAT,72,186,1
Option.bind_id_eq_join,0,UNSAT,71,234,0
Option.filter_join,0,UNSAT,73,290,0
Option.getD_or,0,UNSAT,58,297,0
Option.eq_some_of_isSome,0,UNSAT,34,214,0
Option.or_some,0,UNSAT,22,171,0
Option.isNone_eq_false_iff,0,UNSAT,25,228,0
Option.all_merge,0,UNSAT,62,434,0
Option.pmap_congr,0,UNSAT,26,163,0
Option.isNone_pfilter_iff,0,UNSAT,28,272,0
Option.some_or,0,UNSAT,36,167,0
Option.not_rel_none_some,0,UNSAT,30,279,0
Option.pfilter_some,0,UNSAT,17,260,0
Option.get!_some,0,ERR_ENCODING,18,0,0
Option.join_filter,0,UNSAT,87,308,0
Option.map_id_fun',0,UNSAT,20,163,0
Option.isNone_pbind_iff,0,UNSAT,27,265,0
Option.join_min,0,UNSAT,59,283,0
Option.get_dite',0,UNSAT,44,216,0
Option.pbind_isSome,0,UNSAT,52,178,0
Option.filter_filter,0,UNSAT,52,225,0
